buyer_country,awards,total_value_euro,median_value_euro
RO,678398,1382991292938.3,159515.5
FR,353201,630004986501.1,205950.12
IT,103977,313522034734.15,374783.53
PL,541778,303591128575.51,32135.23
ES,194825,271163188479.75,131700.0
SE,63973,187105293890.75,317887.41
DE,250083,155425968130.1,18600.0
DK,26269,114419468522.01,537663.32
UK,26757,90661787154.15,60686.83
CZ,114906,86081565647.66,44460.31
NO,18782,70524609236.57,787145.91
SI,87104,69574249181.66,18270.31
FI,31530,69330045721.76,355950.0
NL,31831,67140693351.13,80166.0
IE,14793,59249878772.73,640000.0
AT,18481,57251842940.32,533723.9
BE,22418,47855198093.95,290757.44999999995
LT,98207,40555348745.27,46000.0
PT,33404,38836343049.5,213159.0
HR,45122,35580568130.17,72941.43
BG,77044,34897756702.66,40119.53
HU,37490,34012096466.01,86449.225
EE,20553,31390752390.7,112871.83
GR,34262,22643051793.14,52018.95
CH,9904,22506769682.25,619692.905
SK,17611,21642619782.9,101000.0
LV,51740,17496975123.43,19419.05
LU,4545,13704298351.57,307705.08
MK,4986,3608524282.04,82043.21
MT,2359,2742955909.02,187965.58
IS,1035,2321064079.05,363651.0
CY,2890,2297149352.46,179550.0
LI,243,139973550.18,251480.44
